InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
C500000,71053,WHITE METAL LANTERN,-3,2011-07-10 10:07:00,-1.0,, portugal 
500000,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2010-09-01 19:33:00,0.85,17177,Portugal
500000,M,MANUAL,13,2010-07-20 10:42:00,18.9,14690,Belgium
500001,DOT,DOTCOM POSTAGE,14,2010-01-16 16:30:00,3.75,15963,Switzerland
500001,84029E,RED WOOLLY HOTTIE WHITE HEART.,12,2010-09-06 16:03:00,24.5,16743,Portugal
500001,84029E,RED WOOLLY HOTTIE WHITE HEART.,12,2010-09-06 16:03:00,24.5,16743,Portugal
500002,21730,GLASS STAR FROSTED T-LIGHT HOLDER,18,2010-01-10 08:41:00,18.9,18118,France
500002,TEST001,TEST PRODUCT,3,2010-07-03 10:10:00,0.85,16442,Portugal
500002,71053,WHITE METAL LANTERN,14,2011-10-30 18:26:00,24.5,15348,Portugal
500003,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-11-18 12:48:00,3.75,17713,Belgium
500003,TEST001,TEST PRODUCT,11,2011-03-21 11:06:00,3.75,,Netherlands
500003,22423,REGENCY CAKESTAND 3 TIER,18,2011-11-04 13:10:00,3.75,14283,Sweden
500004,22720,SET OF 3 CAKE TINS PANTRY DESIGN,8,2011-07-06 18:12:00,5.95,18177,Belgium
500004,84029E,RED WOOLLY HOTTIE WHITE HEART.,7,2011-06-02 08:07:00,2.1,15552,Portugal
500004,84406B,CREAM CUPID HEARTS COAT HANGER,11,2011-11-12 14:37:00,0.85,15610,Netherlands
500005,85099B,JUMBO BAG RED RETROSPOT,17,2010-03-25 08:51:00,24.5,,Portugal
500005,22720,SET OF 3 CAKE TINS PANTRY DESIGN,7,2010-04-30 18:47:00,5.95,14030,Spain
500005,21730,GLASS STAR FROSTED T-LIGHT HOLDER,18,2010-06-20 14:10:00,1.25,13920,Sweden
500006,22720,SET OF 3 CAKE TINS PANTRY DESIGN,5,2010-06-04 20:55:00,18.9,13960,Australia
500006,TEST001,TEST PRODUCT,16,2010-11-14 15:41:00,8.5,18186,Germany
500006,22423,REGENCY CAKESTAND 3 TIER,5,2011-04-27 15:49:00,8.5,,Netherlands
500007,85099B,JUMBO BAG RED RETROSPOT,5,2011-11-08 22:36:00,2.1,13017,United Kingdom
500007,71053,WHITE METAL LANTERN,15,2010-09-29 20:52:00,3.75,16609,Australia
500007,85099B,JUMBO BAG RED RETROSPOT,6,2011-01-26 12:35:00,5.95,17427,United Kingdom
